stop_id,hdbscan_cluster
MTA_501438,0
MTA_501439,0
MTA_501441,0
MTA_501501,0
MTA_501502,0
MTA_501503,0
MTA_501504,0
MTA_501505,0
MTA_501506,0
MTA_501507,0
MTA_501508,0
MTA_501509,0
MTA_501510,0
MTA_501511,0
MTA_501512,0
MTA_501514,-1
MTA_501516,0
MTA_501517,0
MTA_501518,0
MTA_501520,0
MTA_501544,1
MTA_501560,1
MTA_501605,1
MTA_501606,1
MTA_501608,1
MTA_501610,1
MTA_501611,1
MTA_501612,1
MTA_501613,1
MTA_501673,1
MTA_501674,1
MTA_501675,1
MTA_501679,1
MTA_501680,1
MTA_501681,1
MTA_501682,1
MTA_501684,1
MTA_501735,1
MTA_501736,1
MTA_501737,1
MTA_501751,1
MTA_501754,1
MTA_501755,1
MTA_501756,1
MTA_501804,0
MTA_501805,0
MTA_501806,-1
MTA_501807,-1
MTA_501808,0
MTA_501809,-1
MTA_501811,1
MTA_501825,1
MTA_501832,1
MTA_501847,1
MTA_501848,1
MTA_501850,1
MTA_501857,1
MTA_501871,1
MTA_501872,1
MTA_501873,-1
MTA_501874,-1
MTA_501875,-1
MTA_501876,-1
MTA_501877,0
MTA_501878,0
MTA_502145,0
MTA_503156,1
MTA_503206,0
MTA_503283,0
MTA_503566,1
MTA_503718,0
MTA_503723,1
MTA_503920,1
MTA_503921,1
MTA_503932,0
MTA_503933,0
MTA_503953,0
MTA_503976,0
MTA_504004,0
MTA_504424,0
MTA_504428,1
MTA_504436,0
MTA_504444,1
MTA_504446,1
MTA_504447,1
MTA_504480,0
MTA_504540,0
MTA_504981,0
MTA_505053,1
MTA_505065,1
MTA_505173,1
MTA_505236,0
MTA_804051,1
MTA_804084,0
MTA_904061,1
MTA_904095,0
MTA_500002,0
MTA_500004,0
MTA_500008,0
MTA_500009,0
MTA_500011,0
MTA_500012,0
MTA_500013,0
MTA_500014,0
MTA_500017,0
MTA_500018,0
MTA_500019,0
MTA_500022,0
MTA_500071,0
MTA_500072,0
MTA_500073,0
MTA_500074,0
MTA_500078,0
MTA_500079,0
MTA_500080,0
MTA_500081,0
MTA_500082,0
MTA_500087,0
MTA_500197,0
MTA_500891,1
MTA_500939,-1
MTA_500940,-1
MTA_500941,-1
MTA_500942,-1
MTA_500943,-1
MTA_500945,-1
MTA_500946,-1
MTA_500947,-1
MTA_500948,-1
MTA_500949,-1
MTA_500950,-1
MTA_500951,-1
MTA_500952,-1
MTA_500953,-1
MTA_500954,-1
MTA_500955,1
MTA_500956,1
MTA_500957,1
MTA_500958,1
MTA_500959,1
MTA_500960,1
MTA_500961,1
MTA_500962,1
MTA_500963,1
MTA_500965,1
MTA_500967,1
MTA_500968,1
MTA_500969,1
MTA_500970,1
MTA_500971,1
MTA_500973,-1
MTA_500974,-1
MTA_500975,-1
MTA_500976,-1
MTA_500977,-1
MTA_500978,-1
MTA_500979,-1
MTA_500980,-1
MTA_500981,-1
MTA_500982,-1
MTA_500983,-1
MTA_500984,-1
MTA_500985,-1
MTA_500986,-1
MTA_500987,-1
MTA_500988,-1
MTA_500989,-1
MTA_501414,0
MTA_501908,0
MTA_501924,0
MTA_501925,-1
MTA_501926,-1
MTA_501927,-1
MTA_501928,-1
MTA_501929,-1
MTA_501930,-1
MTA_501931,-1
MTA_501932,0
MTA_501933,0
MTA_501936,0
MTA_501937,0
MTA_501938,0
MTA_501939,-1
MTA_501940,-1
MTA_501941,-1
MTA_501942,-1
MTA_501947,-1
MTA_501948,-1
MTA_501949,-1
MTA_501950,-1
MTA_501951,-1
MTA_501952,-1
MTA_501953,-1
MTA_501954,-1
MTA_501955,0
MTA_501956,0
MTA_501957,0
MTA_501958,0
MTA_501959,0
MTA_501960,0
MTA_501961,-1
MTA_501962,-1
MTA_501963,-1
MTA_501964,-1
MTA_501965,-1
MTA_501966,0
MTA_501967,0
MTA_502115,0
MTA_503058,0
MTA_503195,0
MTA_503214,1
MTA_503965,0
MTA_503974,-1
MTA_503978,0
MTA_503984,0
MTA_504045,-1
MTA_504421,0
MTA_504493,-1
MTA_504505,-1
MTA_504521,-1
MTA_504522,-1
MTA_504544,-1
MTA_505096,0
MTA_505201,0
MTA_505209,-1
MTA_505233,0
MTA_505245,-1
MTA_505284,0
MTA_804052,0
MTA_904989,-1
MTA_500004,0
MTA_500008,0
MTA_500009,0
MTA_500010,0
MTA_500011,0
MTA_500012,0
MTA_500013,0
MTA_500014,0
MTA_500017,0
MTA_500018,0
MTA_500019,0
MTA_500022,0
MTA_500023,0
MTA_500024,0
MTA_500025,0
MTA_500026,0
MTA_500066,0
MTA_500069,0
MTA_500070,0
MTA_500071,0
MTA_500072,0
MTA_500073,0
MTA_500074,0
MTA_500078,0
MTA_500079,0
MTA_500080,0
MTA_500082,0
MTA_500197,0
MTA_500249,0
MTA_500251,0
MTA_500252,0
MTA_500361,0
MTA_500750,0
MTA_501414,0
MTA_501419,0
MTA_502030,0
MTA_502031,0
MTA_502032,0
MTA_502033,0
MTA_502044,0
MTA_502065,0
MTA_502067,0
MTA_502069,0
MTA_502070,-1
MTA_502071,-1
MTA_502072,-1
MTA_502073,-1
MTA_502074,-1
MTA_502075,-1
MTA_502078,-1
MTA_502079,-1
MTA_502080,-1
MTA_502081,-1
MTA_502082,-1
MTA_502083,-1
MTA_502085,-1
MTA_502086,-1
MTA_502087,-1
MTA_502088,-1
MTA_502091,-1
MTA_502092,-1
MTA_502095,-1
MTA_502096,-1
MTA_502098,-1
MTA_502099,-1
MTA_502100,0
MTA_502102,0
MTA_502103,0
MTA_502104,0
MTA_502115,0
MTA_502131,0
MTA_502132,0
MTA_502136,0
MTA_502137,0
MTA_502138,0
MTA_502139,0
MTA_502378,-1
MTA_503195,0
MTA_503209,0
MTA_503210,0
MTA_503272,0
MTA_503571,0
MTA_503686,-1
MTA_503687,-1
MTA_503914,-1
MTA_503965,0
MTA_503978,0
MTA_504048,-1
MTA_504481,0
MTA_504528,-1
MTA_505201,0
MTA_505233,0
MTA_505308,0
MTA_904095,0
MTA_904413,-1
MTA_100646,0
MTA_103374,0
MTA_103375,0
MTA_103379,0
MTA_103380,0
MTA_103383,0
MTA_103385,0
MTA_103392,0
MTA_103523,0
MTA_103767,-1
MTA_103900,0
MTA_103995,0
