Route ID,Stop ID,Stop Name,Latitude,Longitude
MTA%20NYCT_Q2,MTA_500099,187 PL/90 AV,40.712532,-73.772917
MTA%20NYCT_Q2,MTA_500100,187 PL/JAMAICA AV,40.710441,-73.771842
MTA%20NYCT_Q2,MTA_500101,HOLLIS AV/190 ST,40.709793,-73.769106
MTA%20NYCT_Q2,MTA_500102,HOLLIS AV/191 ST,40.709359,-73.767325
MTA%20NYCT_Q2,MTA_500103,HOLLIS AV/102 AV,40.708505,-73.765944
MTA%20NYCT_Q2,MTA_500104,HOLLIS AV/104 AV,40.707341,-73.764736
MTA%20NYCT_Q2,MTA_500105,HOLLIS AV/109 AV,40.706603,-73.7622
MTA%20NYCT_Q2,MTA_500109,HOLLIS AV /204 ST,40.706802,-73.753316
MTA%20NYCT_Q2,MTA_500110,HOLLIS AV/FRANCIS LEWIS BLVD,40.707357,-73.750746
MTA%20NYCT_Q2,MTA_500111,HOLLIS AV/208 ST,40.707784,-73.749589
MTA%20NYCT_Q2,MTA_500112,HOLLIS AV/209 PL,40.708385,-73.748105
MTA%20NYCT_Q2,MTA_500113,HOLLIS AV/212 ST,40.709396,-73.745922
MTA%20NYCT_Q2,MTA_500114,HOLLIS AV/214 ST,40.709781,-73.744049
MTA%20NYCT_Q2,MTA_500115,HOLLIS AV/216 ST,40.710178,-73.742237
MTA%20NYCT_Q2,MTA_500116,HOLLIS AV/217 PL,40.711034,-73.739467
MTA%20NYCT_Q2,MTA_500118,HOLLIS AV/SPRINGFIELD BLVD,40.71189,-73.736656
MTA%20NYCT_Q2,MTA_500120,HEMPSTEAD AV/220 ST,40.712675,-73.733693
MTA%20NYCT_Q2,MTA_500121,HEMPSTEAD AV/223 ST,40.712107,-73.731394
MTA%20NYCT_Q2,MTA_500123,HEMPSTEAD AV/225 ST,40.711654,-73.729334
MTA%20NYCT_Q2,MTA_500124,HEMPSTEAD AV/224 ST,40.711929,-73.730386
MTA%20NYCT_Q2,MTA_500125,HEMPSTEAD AV/221 ST,40.712704,-73.73327
MTA%20NYCT_Q2,MTA_500126,SPRINGFIELD BLVD/HEMPSTEAD AV,40.712961,-73.736072
MTA%20NYCT_Q2,MTA_500127,SPRINGFIELD BLVD/HOLLIS AV,40.712056,-73.736559
MTA%20NYCT_Q2,MTA_500128,HOLLIS AV/217 LN,40.711181,-73.739304
MTA%20NYCT_Q2,MTA_500130,HOLLIS AV/215 ST,40.710062,-73.743222
MTA%20NYCT_Q2,MTA_500131,HOLLIS AV/212 PL,40.709674,-73.745092
MTA%20NYCT_Q2,MTA_500132,HOLLIS AV/211 ST,40.708968,-73.747226
MTA%20NYCT_Q2,MTA_500133,HOLLIS AV/207 ST,40.707641,-73.750206
MTA%20NYCT_Q2,MTA_500134,HOLLIS AV/FRANCIS LEWIS BLVD,40.707267,-73.751719
MTA%20NYCT_Q2,MTA_500135,HOLLIS AV/205 ST,40.706895,-73.753448
MTA%20NYCT_Q2,MTA_500136,HOLLIS AV/203 ST,40.706495,-73.755268
MTA%20NYCT_Q2,MTA_500137,HOLLIS AV/201 ST,40.706238,-73.757032
MTA%20NYCT_Q2,MTA_500138,HOLLIS AV/199 ST,40.70641,-73.759135
MTA%20NYCT_Q2,MTA_500139,HOLLIS AV/197 ST,40.706573,-73.760652
MTA%20NYCT_Q2,MTA_500140,HOLLIS AV/195 ST,40.706816,-73.762718
MTA%20NYCT_Q2,MTA_500141,HOLLIS AV/104 AV,40.707289,-73.764488
MTA%20NYCT_Q2,MTA_500142,HOLLIS AV/100 AV,40.708848,-73.766156
MTA%20NYCT_Q2,MTA_500143,HOLLIS AV/99 AV,40.709588,-73.767672
MTA%20NYCT_Q2,MTA_500145,WOODHULL AV/JAMAICA AV,40.71074,-73.770477
MTA%20NYCT_Q2,MTA_500146,188 ST/90 AV,40.712703,-73.771888
MTA%20NYCT_Q2,MTA_500147,188 ST/89 AV,40.713832,-73.772646
MTA%20NYCT_Q2,MTA_500197,HILLSIDE AV/EDGERTON BLVD,40.712223,-73.785799
MTA%20NYCT_Q2,MTA_501318,165 ST/TERMINAL,40.707946,-73.795651
MTA%20NYCT_Q2,MTA_501414,HILLSIDE AV/MIDLAND PKWY,40.71262,-73.783923
MTA%20NYCT_Q2,MTA_501419,HILLSIDE AV/169 ST,40.71071,-73.793147
MTA%20NYCT_Q2,MTA_503195,HILLSIDE AV/172 ST,40.711809,-73.790139
MTA%20NYCT_Q2,MTA_503839,HOLLIS AV/217 ST,40.710723,-73.740705
MTA%20NYCT_Q2,MTA_503985,HOLLIS AV/198 ST,40.706289,-73.759084
MTA%20NYCT_Q2,MTA_503986,HOLLIS AV/201 ST,40.706232,-73.756045
MTA%20NYCT_Q2,MTA_505068,WOODHULL AV/190 ST,40.710494,-73.769468
MTA%20NYCT_Q2,MTA_505072,HOLLIS AV/217 LN,40.710676,-73.740536
MTA%20NYCT_Q2,MTA_505131,HEMPSTEAD AV/SPRINGFIELD BLVD,40.713084,-73.735386
MTA%20NYCT_Q2,MTA_505233,HILLSIDE AV/AVON ST,40.713535,-73.780431
MTA%20NYCT_Q2,MTA_505284,HILLSIDE AV/175 ST,40.711852,-73.786805
MTA%20NYCT_Q2,MTA_505316,BELMONT PARK RACETRACK/UBS ARENA,40.712949,-73.727651
MTA%20NYCT_Q2,MTA_804052,165 ST/TERMINAL,40.707663,-73.795217
MTA%20NYCT_Q2,MTA_904002,HEMPSTEAD AV/225 ST,40.711485,-73.729149
